ID,LTV,CLTV,Orig_Bal,Orig_Term,Orig_Rate,State,FICO,Occupancy,Type
3373,20,100,71400,360,11.3,CA,650,OO,Fix
3374,82.5,82.5,165000,360,8.975,SC,514,OO,ARM
3375,83.87,83.87,260000,480,8.2,MN,682,OO,ARM
3376,85,85,229500,360,9.3,IL,536,OO,ARM
3377,95,95,332490,480,8,CA,765,IO,ARM
3378,85,85,127500,360,9.45,MI,536,OO,ARM
3379,69.76,69.76,206500,360,8.55,MD,530,OO,ARM
3380,90,100,78300,360,10.85,TX,545,OO,ARM
3381,90,100,170910,360,8.875,TX,659,IO,ARM
3382,73.54,73.54,478000,480,8.15,FL,559,OO,ARM
3383,90,90,920700,360,8.9,MA,652,OO,ARM
3384,80,100,464000,360,7.7,UT,643,OO,ARM
3385,84.38,99.38,135000,480,8.75,AZ,630,IO,ARM
3386,80,100,176000,360,8.45,FL,656,OO,ARM
3387,90,90,190125,360,9.8,LA,577,OO,ARM
3388,79.02,98.69,241000,360,7.99,MN,509,OO,Fix
3389,90,90,219700,360,8.125,AZ,663,IO,ARM
3390,80,80,100000,360,10.6,MI,501,OO,ARM
3391,20,100,75871,360,12.5,CA,633,OO,Fix
3392,95,100,164350,360,8.85,MI,622,OO,ARM
3393,77.69,77.69,184000,360,7.7,NV,584,OO,ARM
3394,95,100,470250,360,8.35,CA,652,OO,ARM
3395,80,80,524000,480,8.875,CA,608,OO,ARM
3396,89.16,89.16,370000,480,8.7,MD,555,OO,ARM
3397,90,90,301500,360,8.15,NJ,518,OO,ARM
3398,90,90,64800,360,10.35,NE,599,IO,ARM
3399,85,85,66300,360,9.75,PA,583,IO,ARM
3400,95,95,136800,360,7.875,NM,641,OO,Fix
3401,78.43,78.43,200000,360,8.888,RI,626,IO,ARM
3402,85,100,85000,360,10.85,TX,622,IO,ARM
3403,95,95,237500,480,10.975,RI,601,OO,ARM
3404,88.23,88.23,139400,360,6.75,MI,691,OO,ARM
3405,95,95,422750,480,9.35,HI,590,OO,ARM
3406,82.38,82.38,195151,300,7.625,FL,663,OO,Fix
3407,90,90,118440,360,8.75,GA,614,OO,Fix
3408,83.19,83.19,250000,360,8.15,MD,635,OO,Fix
3409,86.94,86.94,285000,300,8.5,CA,677,OO,Fix
3410,80,100,228000,360,7.25,MD,600,OO,ARM
3411,80,100,504000,480,8.9,IL,640,OO,ARM
3412,33.44,33.44,107000,360,6.9,MD,602,OO,Fix
3413,80,100,131200,480,7.85,LA,689,OO,ARM
3414,80,100,308000,360,7.4,CA,617,OO,ARM
3415,89.74,89.74,280000,360,9,FL,583,OO,Fix
3416,80,100,181600,360,8.45,NV,644,OO,ARM
3417,80,100,720000,360,8.2,CA,628,OO,ARM
3418,90,90,171000,360,9.5,IL,790,IO,ARM
3419,90,90,290070,360,6.75,WA,739,OO,Fix
3420,95,95,332490,480,8,CA,765,IO,ARM
3421,90,90,157500,360,10.162,IL,529,OO,ARM
3422,69.9,69.9,82450,120,7.99,AR,650,OO,Fix
3423,80,100,272000,360,8,CA,656,OO,ARM
3424,90,90,136800,360,9.9,WI,559,OO,ARM
3425,95,95,201400,360,10,NJ,603,OO,Fix
3426,88.03,88.03,145250,360,9.65,KY,506,OO,ARM
3427,100,100,270000,480,8.45,MD,667,OO,ARM
3428,90,90,277020,360,7.7,FL,642,OO,Fix
3429,80,80,340000,360,7.65,MD,561,OO,ARM
3430,90,100,153900,360,8,SC,703,IO,ARM
3431,76.19,76.19,152000,360,9.05,TX,529,OO,ARM
3432,90,90,103500,360,10.6,PA,680,IO,ARM
3433,75,75,210000,360,9.4,MN,567,OO,ARM
3434,80,100,184720,480,8.55,FL,633,OO,ARM
3435,80,80,79200,360,8.75,WI,617,OO,ARM
3436,95,95,102600,480,8.5,OH,629,OO,Fix
3437,95,95,380000,480,12.25,CA,601,OO,ARM
3438,80.63,80.63,383000,480,8.75,NJ,633,OO,ARM
3439,90,90,101700,360,7.95,MI,597,OO,Fix
3440,76.27,76.27,210500,360,8.875,WA,540,OO,ARM
3441,90,90,127800,480,9.6,FL,566,OO,Fix
3442,80,100,480000,360,8.55,CA,691,OO,ARM
3443,80,100,238000,360,8.4,CT,616,OO,ARM
3444,80,80,312000,480,7.05,CA,595,OO,ARM
3445,88.94,88.94,418000,360,7.7,NJ,632,OO,ARM
3446,50,50,88000,360,8.25,FL,577,OO,Fix
3447,92.86,92.86,117000,360,8.75,IL,589,OO,ARM
3448,80,100,282000,480,9.15,MA,668,OO,ARM
3449,51.75,51.75,295000,480,7.725,NY,594,OO,ARM
3450,90,90,294750,360,7.875,FL,641,IO,ARM
3451,95,95,264100,360,8.05,FL,688,OO,ARM
3452,80,100,601720,360,7.65,IL,639,OO,ARM
3453,78.37,78.37,192000,360,7.45,WI,567,OO,ARM
3454,76.67,76.67,230000,480,7.3,CA,588,OO,ARM
3455,90,100,234000,360,8.45,FL,637,IO,ARM
3456,20,100,65600,360,11.7,CA,718,OO,Fix
3457,31.13,31.13,165000,360,6.75,CA,602,OO,Fix
3458,80,80,540000,480,10.25,CA,502,OO,ARM
3459,80,100,399200,360,7.99,CA,673,OO,ARM
3460,56.44,56.44,285000,360,7.4,NY,535,OO,ARM
3461,80,100,239920,360,6.9,FL,647,OO,ARM
3462,90,90,288000,360,8.7,MD,556,OO,ARM
3463,80,80,332000,360,9.1,IL,510,OO,ARM
3464,80,100,476000,480,7.65,CA,690,OO,ARM
3465,80,100,136000,360,9.05,KY,551,OO,ARM
3466,80,100,93120,360,8.3,LA,659,OO,ARM
3467,20,100,29000,360,12.3,CA,600,OO,Fix
3468,80,80,328000,480,6.99,FL,571,OO,ARM
3469,55.25,55.25,79000,360,7.575,IL,550,OO,Fix
3470,90,90,275220,360,7.35,WA,646,OO,Fix
3471,90,90,101970,360,11.6,IA,555,OO,Fix
3472,93.7,93.7,215500,360,8.2,CA,638,OO,ARM
3473,80,100,620000,360,6.95,NV,605,OO,ARM
3474,95,95,413250,480,7.65,CA,720,OO,ARM
3475,80,100,399200,480,7.65,CA,661,OO,ARM
3476,80,100,485600,360,7.75,CA,640,OO,ARM
3477,90,90,68850,360,9.65,OK,632,IO,Fix
3478,80,100,198000,360,8.1,CA,641,OO,ARM
3479,80,100,96000,360,7.3,CA,623,OO,ARM
3480,90,90,198000,360,9.85,AZ,511,OO,ARM
3481,90,90,99900,360,9.3,NC,521,OO,Fix
3482,90,90,54675,360,10.2,IA,577,OO,ARM
3483,82.61,82.61,114000,360,8.8,FL,504,OO,ARM
3484,80,80,160000,360,8.45,GA,582,OO,ARM
3485,90,90,72000,360,8.8,NC,627,OO,ARM
3486,80,80,71600,360,7.35,MI,621,OO,ARM
3487,80,100,359200,360,7.75,CA,649,OO,ARM
3488,75,75,60000,360,10.1,MO,501,OO,ARM
3489,90,100,328500,480,8.8,CA,577,OO,ARM
3490,90,100,109800,360,8.8,MN,651,IO,ARM
3491,95,95,309700,480,9.75,CA,603,OO,ARM
3492,90,90,215908,360,8.99,AZ,576,OO,ARM
3493,94.1,94.1,167500,360,7.85,TX,608,OO,Fix
3494,75,100,213750,360,9.112,MA,568,OO,ARM
3495,80,100,182400,360,7.3,FL,608,OO,ARM
3496,90,90,180000,480,9.45,IL,557,OO,ARM
3497,80,100,580000,360,7.375,CA,608,OO,ARM
3498,80,100,676000,360,7.5,CA,713,OO,ARM
3499,90,90,65700,360,9.99,IL,623,IO,ARM
3500,80,80,68000,360,10.25,MI,504,OO,ARM
3501,95,95,261250,480,9.375,FL,666,OO,ARM
3502,85,85,195500,360,7.25,IL,610,OO,Fix
3503,80.87,80.87,93000,360,8.3,LA,658,OO,Fix
3504,76.01,76.01,301750,480,7.99,IL,634,OO,ARM
3505,90,90,499500,360,10.7,UT,712,IO,ARM
3506,84.95,84.95,395000,360,6.75,CA,673,OO,ARM
3507,80,100,138400,480,7.99,UT,667,OO,ARM
3508,90,100,131400,480,8.875,TX,552,OO,ARM
